Sample	CCS_bam
FPD_9169.CD34.NonJC	/home/yuk5/yuk5/project/1.FPDMM/05.SingleCell/2205.FPD_9169.TotalSeq_and_CD34/00.data/9.Pacbio/Pacbio_1/CD34_9169.ccs.bam
FPD_9169.CD34.JC	/home/yuk5/yuk5/project/1.FPDMM/05.SingleCell/2205.FPD_9169.TotalSeq_and_CD34/00.data/9.Pacbio/Pacbio_2/CD34_9169.ccs.bam
